Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,yearID,teamID
TEX,2193,6301,260,865,834,67,7.9%,17.6%,.201,.290,.267,.329,.468,.344,,106,6.2,49.1,-54.3,20.8,2005,
TBD,2245,6120,157,750,717,151,6.7%,16.2%,.151,.306,.274,.329,.425,.327,,101,10.3,14.9,-16.4,20.6,2005,
SDP,2380,6271,130,684,655,99,9.6%,15.6%,.134,.289,.257,.333,.391,.318,,98,-0.3,-19.8,17.6,20.3,2005,
LAA,2234,6186,147,761,726,161,7.2%,13.7%,.139,.294,.270,.325,.409,.319,,96,3.3,-30.8,17.0,19.6,2005,
MIL,2226,6156,175,726,689,79,8.6%,18.9%,.163,.298,.259,.331,.423,.327,,95,-5.2,-44.4,37.3,19.4,2005,
TOR,2281,6233,136,775,735,72,7.8%,15.3%,.142,.296,.265,.331,.407,.323,,94,12.3,-33.2,13.6,19.1,2005,
BAL,2323,6134,189,729,700,83,7.3%,14.7%,.165,.289,.269,.327,.434,.330,,101,-9.5,-0.6,-18.7,18.8,2005,
FLA,2296,6214,128,717,678,96,8.2%,14.8%,.137,.304,.272,.339,.409,.326,,98,-7.1,-23.0,2.5,18.2,2005,
HOU,2324,6139,161,693,654,115,7.8%,16.9%,.152,.288,.256,.322,.408,.318,,90,-0.1,-77.8,58.5,18.1,2005,
NYM,2213,6146,175,722,683,153,7.9%,17.5%,.158,.290,.258,.322,.416,.320,,93,21.0,-32.8,13.2,18.1,2005,
CHW,2208,6146,200,741,713,137,7.1%,16.3%,.163,.286,.262,.322,.425,.324,,95,-1.9,-42.1,13.8,18.0,2005,
NYY,2319,6406,229,886,847,84,9.9%,15.4%,.174,.297,.276,.355,.450,.350,,116,-3.4,118.5,-160.9,17.4,2005,
WSN,2352,6142,117,639,615,45,8.0%,17.7%,.134,.293,.252,.322,.386,.309,,88,-16.4,-112.9,78.8,16.6,2005,
SEA,2258,6095,130,699,657,102,7.6%,16.2%,.136,.289,.256,.317,.391,.309,,90,7.1,-66.3,-3.2,13.7,2005,
LAD,2351,6134,149,685,653,58,8.8%,17.8%,.142,.290,.253,.326,.395,.317,,91,-21.4,-93.4,29.0,13.6,2005,
PIT,2289,6221,139,680,656,73,7.6%,17.6%,.141,.297,.259,.322,.400,.315,,89,-5.0,-91.3,22.8,13.4,2005,
MIN,2235,6192,134,688,644,102,7.8%,15.8%,.132,.291,.259,.323,.391,.312,,89,-14.5,-96.1,18.6,13.2,2005,
SFG,2360,6077,128,649,617,71,7.1%,14.8%,.135,.290,.261,.319,.396,.312,,86,-13.9,-121.6,53.0,13.0,2005,
ARI,2370,6327,191,696,670,67,9.6%,17.3%,.165,.285,.256,.332,.421,.328,,91,1.3,-71.2,-10.7,12.4,2005,
COL,2302,6240,150,741,704,65,8.2%,17.7%,.144,.307,.267,.333,.411,.325,,85,-10.7,-130.7,30.5,10.3,2005,
KCR,2259,6086,126,701,653,53,7.0%,16.6%,.134,.298,.263,.320,.396,.313,,87,6.3,-91.5,-87.3,2.7,2005,
NYM,2279,6291,200,834,800,146,8.7%,17.0%,.181,.293,.264,.334,.445,.334,,99,20.5,13.8,66.4,28.1,2006,
SDP,2396,6287,161,731,698,123,9.0%,17.6%,.154,.299,.263,.332,.416,.325,,99,5.2,-5.0,65.1,26.1,2006,
PHI,2410,6509,216,865,823,92,9.6%,18.5%,.180,.302,.267,.347,.447,.341,,100,18.5,15.5,34.6,25.9,2006,
TOR,2329,6241,199,809,778,65,8.2%,14.5%,.179,.306,.284,.348,.463,.349,,107,-15.0,43.6,3.4,25.4,2006,
NYY,2430,6455,210,930,902,139,10.1%,16.3%,.177,.315,.285,.363,.461,.356,,113,7.4,118.9,-91.9,24.2,2006,
ATL,2435,6284,222,849,818,52,8.4%,18.6%,.184,.304,.270,.337,.455,.339,,100,-13.4,-13.1,48.1,23.7,2006,
STL,2359,6225,184,781,745,59,8.5%,14.8%,.163,.292,.269,.337,.431,.331,,98,5.9,-13.3,46.0,23.3,2006,
MIN,2226,6228,143,801,754,101,7.9%,14.0%,.138,.316,.287,.347,.425,.334,,101,-1.4,5.9,13.5,22.7,2006,
DET,2214,6198,203,822,785,60,6.9%,18.3%,.174,.310,.274,.329,.449,.334,,99,-1.6,-12.2,23.4,21.8,2006,
CLE,2135,6303,196,870,839,55,8.8%,19.1%,.177,.324,.280,.349,.457,.347,,108,-2.9,62.8,-61.4,21.2,2006,
LAD,2384,6394,153,820,787,128,9.4%,15.0%,.157,.307,.276,.348,.432,.337,,101,-4.8,3.4,-2.6,20.7,2006,
FLA,2354,6191,182,758,713,110,8.0%,20.2%,.171,.309,.264,.331,.435,.329,,96,12.6,-18.2,20.0,20.2,2006,
CIN,2335,6296,217,749,718,124,9.8%,18.9%,.175,.290,.257,.336,.432,.332,,94,16.4,-36.5,31.1,19.8,2006,
SEA,2259,6213,172,756,703,106,6.5%,15.7%,.153,.300,.272,.325,.424,.322,,95,4.0,-37.6,26.5,19.7,2006,
HOU,2393,6326,174,735,708,79,9.2%,17.0%,.154,.286,.255,.332,.409,.322,,90,5.7,-82.5,74.7,19.7,2006,
WSN,2430,6283,164,746,695,123,9.5%,18.4%,.156,.301,.262,.338,.418,.327,,96,3.3,-27.3,18.8,19.5,2006,
CHW,2286,6318,236,868,839,93,7.9%,16.7%,.184,.305,.280,.342,.464,.346,,103,-8.4,14.4,-34.1,19.3,2006,
KCR,2272,6229,124,757,718,65,7.6%,16.7%,.140,.311,.271,.332,.411,.323,,92,3.0,-64.6,37.7,18.3,2006,
BAL,2295,6240,164,768,727,121,7.6%,14.1%,.146,.302,.277,.339,.424,.331,,96,-4.5,-36.4,-2.7,17.1,2006,
LAA,2264,6221,159,766,737,148,7.8%,14.7%,.150,.301,.274,.334,.425,.327,,95,11.3,-27.4,-12.1,17.0,2006,
OAK,2197,6281,175,771,735,61,10.3%,15.5%,.152,.285,.260,.340,.412,.328,,97,-16.5,-38.5,-8.1,16.5,2006,
BOS,2346,6435,192,820,777,51,10.4%,16.4%,.166,.298,.269,.351,.435,.340,,100,-10.3,-13.3,-43.5,16.1,2006,
MIL,2206,6130,180,730,695,71,8.2%,20.1%,.162,.300,.258,.327,.420,.322,,89,-1.5,-87.8,47.7,15.9,2006,
TEX,2227,6273,183,835,799,53,8.1%,16.9%,.168,.311,.278,.338,.446,.337,,97,-7.4,-31.5,-21.7,15.9,2006,
SFG,2313,6136,163,746,711,58,8.1%,14.5%,.163,.282,.259,.324,.422,.320,,88,-15.8,-116.2,73.5,15.7,2006,
CHC,2399,6147,166,716,677,121,6.4%,15.1%,.154,.294,.268,.319,.422,.320,,84,-1.0,-128.9,65.3,13.7,2006,
COL,2306,6348,157,813,761,85,8.8%,17.5%,.163,.310,.270,.341,.433,.333,,87,-2.7,-111.8,39.3,13.5,2006,
ARI,2282,6330,160,773,743,76,8.0%,15.2%,.157,.294,.267,.331,.424,.326,,87,-6.6,-112.3,12.3,10.8,2006,
TBD,2247,6041,190,689,650,134,7.3%,18.3%,.165,.285,.255,.314,.420,.316,,89,1.9,-84.4,-19.0,10.3,2006,
PIT,2325,6218,141,691,656,68,7.4%,19.3%,.134,.310,.263,.327,.397,.315,,86,-2.2,-115.0,-13.0,7.7,2006,
PHI,2446,6537,213,892,850,138,9.8%,18.4%,.184,.311,.274,.354,.458,.351,,105,20.6,63.6,78.5,34.9,2007,
NYY,2366,6528,201,968,929,123,9.8%,15.2%,.174,.318,.290,.366,.463,.361,,119,11.9,168.4,-47.2,33.9,2007,
DET,2269,6364,177,887,857,103,7.4%,16.6%,.171,.323,.287,.345,.458,.347,,108,8.0,75.1,19.4,30.7,2007,
BOS,2278,6426,166,867,829,96,10.7%,16.2%,.165,.315,.279,.362,.444,.352,,109,-5.0,70.7,11.8,29.7,2007,
NYM,2335,6344,177,804,761,200,8.7%,15.5%,.157,.303,.275,.342,.432,.336,,100,14.2,17.4,57.5,27.7,2007,
ATL,2398,6374,176,810,781,64,8.4%,18.0%,.160,.314,.275,.339,.435,.337,,99,-6.2,-12.5,80.4,27.2,2007,
MIL,2330,6238,231,801,774,96,8.0%,18.2%,.194,.289,.262,.329,.456,.337,,100,7.4,7.7,44.1,25.1,2007,
COL,2407,6498,171,860,823,100,9.6%,17.7%,.158,.322,.280,.354,.437,.346,,97,10.1,-19.4,41.6,23.1,2007,
CLE,2225,6367,178,811,784,72,9.3%,18.9%,.159,.310,.268,.343,.428,.336,,104,0.3,31.9,-29.6,21.7,2007,
LAA,2230,6198,123,822,776,139,8.2%,14.2%,.133,.315,.284,.345,.417,.333,,100,3.7,5.3,2.0,21.6,2007,
CHC,2379,6268,151,752,711,86,8.0%,16.8%,.150,.308,.271,.333,.422,.329,,90,-3.9,-87.0,96.6,21.1,2007,
FLA,2423,6344,201,790,749,105,8.2%,21.0%,.181,.315,.267,.336,.448,.340,,101,3.8,9.4,-6.4,20.7,2007,
STL,2440,6211,141,725,690,56,8.1%,14.6%,.132,.303,.274,.337,.405,.326,,94,-12.7,-61.3,40.6,18.0,2007,
TBD,2229,6280,187,782,750,131,8.7%,21.1%,.165,.318,.268,.336,.433,.335,,103,8.4,29.5,-66.0,17.6,2007,
OAK,2220,6365,171,741,711,52,10.4%,17.6%,.151,.290,.256,.338,.407,.328,,99,-7.0,-12.1,-32.1,17.2,2007,
LAD,2417,6282,129,735,706,137,8.1%,13.8%,.131,.303,.275,.337,.406,.326,,94,18.3,-33.3,-1.5,16.8,2007,
TOR,2308,6197,165,753,719,57,8.6%,16.8%,.160,.290,.259,.327,.419,.326,,95,-11.3,-47.2,-0.8,16.2,2007,
SDP,2334,6326,171,741,704,55,8.8%,19.4%,.160,.291,.251,.322,.411,.320,,96,3.3,-30.2,-16.6,15.8,2007,
CIN,2383,6332,204,783,747,97,8.5%,17.6%,.170,.298,.267,.335,.436,.335,,94,-7.2,-58.3,8.4,15.5,2007,
SEA,2338,6209,153,794,754,81,6.3%,13.9%,.138,.313,.287,.337,.425,.333,,103,-9.6,10.7,-68.4,15.3,2007,
TEX,2313,6214,179,816,768,88,8.1%,19.7%,.163,.305,.263,.328,.426,.329,,94,12.6,-33.4,-26.5,15.1,2007,
BAL,2348,6264,142,756,718,144,8.0%,15.0%,.141,.302,.272,.333,.412,.327,,95,-9.0,-45.2,-17.2,15.1,2007,
KCR,2294,6140,102,706,660,78,7.0%,17.4%,.126,.305,.261,.322,.388,.312,,85,-1.6,-121.2,55.1,14.3,2007,
MIN,2259,6161,118,718,671,112,8.3%,13.6%,.127,.291,.264,.330,.391,.317,,91,2.6,-68.7,-0.4,14.1,2007,
WSN,2528,6201,123,673,646,69,8.5%,18.2%,.134,.300,.256,.325,.390,.315,,88,-10.8,-108.6,39.1,13.2,2007,
PIT,2304,6214,148,724,694,68,7.5%,18.3%,.149,.303,.263,.325,.411,.322,,90,-10.4,-94.0,16.8,12.5,2007,
HOU,2409,6324,167,723,700,65,8.6%,16.5%,.152,.291,.260,.330,.412,.325,,92,-17.9,-86.6,5.3,12.4,2007,
SFG,2371,6213,131,683,641,119,8.6%,14.6%,.133,.281,.254,.322,.387,.310,,81,-4.7,-158.1,60.6,10.5,2007,
ARI,2305,6101,171,712,687,109,8.7%,18.2%,.163,.282,.250,.321,.413,.320,,82,8.8,-132.9,34.1,10.0,2007,
CHW,2257,6103,190,693,667,78,8.7%,18.8%,.158,.278,.246,.318,.404,.316,,86,-15.7,-125.7,-55.7,2.9,2007,
STL,2396,6370,174,779,744,73,9.1%,15.5%,.152,.312,.281,.350,.433,.342,,107,-10.0,46.4,90.6,34.0,2008,
BOS,2293,6402,173,845,807,120,10.1%,16.7%,.168,.315,.280,.358,.447,.351,,110,-4.7,72.2,35.4,32.9,2008,
PHI,2396,6273,214,799,762,136,9.3%,17.8%,.182,.283,.255,.332,.438,.334,,98,23.6,4.7,123.4,32.8,2008,
CHC,2345,6384,184,855,811,87,10.0%,18.6%,.165,.321,.278,.354,.443,.349,,104,6.1,33.2,64.1,30.1,2008,
TBR,2299,6312,180,774,735,142,9.9%,19.4%,.162,.302,.260,.340,.422,.335,,105,5.6,43.8,30.3,29.2,2008,
NYM,2405,6388,172,799,751,138,9.7%,16.0%,.154,.296,.266,.340,.420,.332,,100,12.7,13.4,72.0,28.9,2008,
MIL,2227,6252,198,750,722,108,8.8%,19.2%,.179,.287,.253,.325,.431,.329,,97,8.9,-11.7,58.8,24.6,2008,
ATL,2407,6368,130,753,721,58,9.7%,16.1%,.138,.309,.270,.345,.408,.332,,99,-5.8,-12.5,54.2,24.5,2008,
CLE,2199,6299,171,805,772,77,8.9%,19.3%,.162,.305,.262,.339,.424,.334,,103,0.7,24.6,-2.8,24.0,2008,
TEX,2281,6478,194,901,867,81,9.2%,18.6%,.179,.325,.283,.354,.462,.355,,112,11.1,108.1,-97.3,23.5,2008,
HOU,2312,6051,167,712,684,114,7.4%,17.4%,.152,.296,.263,.323,.415,.322,,93,0.4,-49.2,89.3,23.3,2008,
NYY,2330,6257,180,789,758,118,8.6%,16.2%,.156,.302,.271,.342,.427,.338,,104,-6.7,24.3,-28.4,21.3,2008,
MIN,2287,6331,111,829,791,102,8.4%,15.5%,.129,.316,.279,.340,.408,.328,,99,12.3,4.7,-30.5,19.3,2008,
BAL,2340,6211,172,782,750,81,8.6%,15.9%,.162,.296,.267,.333,.429,.333,,99,-5.1,-17.0,-7.7,19.0,2008,
FLA,2361,6206,208,770,741,76,8.7%,22.1%,.179,.300,.254,.326,.433,.330,,96,5.7,-27.5,14.2,18.5,2008,
LAA,2229,6155,159,765,721,129,7.8%,16.0%,.145,.299,.268,.330,.413,.324,,96,-1.0,-30.9,-6.5,17.6,2008,
TOR,2244,6191,126,714,681,80,8.4%,15.2%,.135,.295,.264,.331,.399,.322,,94,-10.9,-60.7,19.1,17.3,2008,
DET,2267,6331,200,821,780,63,9.0%,17.0%,.173,.301,.271,.340,.444,.343,,106,-6.7,42.3,-93.8,16.8,2008,
LAD,2376,6194,137,700,659,126,8.8%,16.7%,.134,.301,.264,.333,.399,.321,,93,5.1,-51.1,20.4,16.7,2008,
CHW,2298,6231,235,811,785,67,8.7%,16.3%,.185,.281,.263,.332,.448,.339,,101,-27.4,-17.7,-43.6,15.5,2008,
OAK,2282,6138,125,646,610,88,9.4%,20.0%,.127,.289,.242,.318,.369,.306,,86,12.4,-92.7,27.1,14.7,2008,
SDP,2343,6244,154,637,615,36,8.3%,20.2%,.140,.294,.250,.317,.390,.311,,92,-4.2,-63.7,2.6,13.8,2008,
CIN,2392,6188,187,704,677,85,9.0%,18.2%,.161,.278,.247,.321,.408,.319,,87,1.1,-103.2,43.7,13.8,2008,
SFG,2382,6145,94,640,606,108,7.4%,17.0%,.120,.305,.262,.321,.382,.309,,83,-15.4,-149.4,55.9,10.3,2008,
ARI,2280,6156,159,720,683,58,9.5%,20.9%,.164,.299,.251,.327,.415,.324,,88,12.1,-83.9,-17.2,9.5,2008,
WSN,2397,6192,117,641,608,81,8.6%,17.7%,.122,.292,.251,.323,.373,.310,,84,-16.8,-145.4,32.7,8.5,2008,
COL,2310,6312,160,747,714,141,9.0%,19.2%,.152,.308,.263,.336,.415,.330,,88,15.2,-80.7,-40.3,8.1,2008,
SEA,2296,6176,124,671,631,90,6.8%,14.4%,.124,.294,.265,.318,.389,.310,,90,-8.9,-86.1,-52.4,7.6,2008,
KCR,2250,6118,120,691,650,79,6.4%,16.4%,.128,.307,.269,.320,.397,.315,,87,-9.5,-109.1,-29.6,7.4,2008,
PIT,2340,6278,153,735,705,57,7.6%,16.5%,.145,.290,.258,.320,.403,.317,,89,0.1,-89.2,-48.6,6.3,2008,
TBR,2345,6223,199,803,765,194,10.3%,19.7%,.177,.303,.263,.343,.439,.342,,109,21.6,90.5,41.8,35.1,2009,
NYY,2369,6449,244,915,881,111,10.3%,15.7%,.194,.306,.283,.362,.478,.365,,117,0.2,137.5,-25.5,33.8,2009,
PHI,2285,6338,224,820,788,119,9.3%,18.2%,.189,.286,.258,.334,.447,.339,,103,20.0,42.5,78.4,32.0,2009,
LAA,2246,6305,173,883,841,148,8.7%,16.7%,.156,.322,.285,.350,.441,.346,,108,8.6,75.5,-5.4,29.1,2009,
LAD,2352,6385,145,780,739,116,9.5%,16.7%,.141,.309,.270,.346,.412,.332,,102,4.0,18.7,55.4,27.4,2009,
MIL,2321,6296,182,785,757,68,9.7%,19.6%,.164,.305,.263,.341,.426,.336,,103,-9.6,10.2,38.9,24.6,2009,
BOS,2317,6344,212,872,822,126,10.4%,17.7%,.184,.301,.270,.352,.454,.351,,106,-7.7,40.7,-19.8,24.4,2009,
STL,2358,6168,160,730,694,75,8.6%,16.9%,.152,.296,.263,.332,.415,.325,,98,13.4,-1.6,50.0,24.2,2009,
MIN,2315,6346,172,817,770,85,9.2%,16.1%,.155,.306,.274,.345,.429,.338,,104,15.3,42.9,-41.4,22.4,2009,
ATL,2335,6335,149,735,700,58,9.5%,16.8%,.142,.300,.263,.339,.405,.327,,97,-20.2,-44.2,67.6,22.2,2009,
CIN,2314,6187,158,673,637,96,8.6%,18.2%,.147,.282,.247,.318,.394,.313,,84,5.2,-118.5,119.4,19.5,2009,
TOR,2202,6362,209,798,766,73,8.6%,16.2%,.174,.290,.266,.333,.440,.337,,101,12.2,21.5,-50.0,19.5,2009,
FLA,2394,6312,159,772,727,75,9.0%,19.4%,.148,.316,.268,.340,.416,.332,,97,4.5,-16.7,12.0,19.3,2009,
TEX,2158,6127,224,784,748,149,7.7%,20.5%,.185,.296,.260,.320,.445,.331,,92,9.1,-49.8,24.6,19.0,2009,
COL,2352,6241,190,804,760,106,10.6%,20.5%,.180,.305,.261,.343,.441,.341,,96,5.3,-29.7,22.8,18.9,2009,
ARI,2301,6269,173,720,686,102,9.1%,20.7%,.165,.299,.253,.324,.418,.324,,89,13.1,-75.3,53.6,17.5,2009,
SEA,2150,6113,160,640,613,89,6.9%,17.9%,.144,.293,.258,.314,.402,.313,,89,-4.5,-87.0,40.0,16.8,2009,
SFG,2304,6057,122,657,612,78,6.5%,19.1%,.132,.302,.257,.309,.389,.305,,83,10.0,-118.1,94.0,16.6,2009,
SDP,2348,6179,141,638,605,82,9.5%,19.1%,.138,.284,.242,.321,.381,.309,,93,-10.4,-67.1,28.9,15.5,2009,
WSN,2401,6273,156,710,685,73,9.8%,19.3%,.148,.302,.258,.337,.406,.327,,96,-5.7,-37.9,-7.6,15.1,2009,
DET,2350,6234,183,743,718,72,8.7%,17.9%,.156,.294,.260,.331,.416,.328,,94,0.4,-48.5,-19.9,15.0,2009,
OAK,2306,6247,135,759,723,133,8.4%,16.7%,.135,.298,.262,.328,.397,.320,,94,12.8,-38.0,-34.9,14.6,2009,
CLE,2188,6320,161,773,730,84,9.2%,19.2%,.153,.308,.264,.339,.417,.333,,100,-1.1,-0.7,-75.7,14.5,2009,
CHC,2343,6244,161,707,678,56,9.5%,19.0%,.152,.296,.255,.332,.407,.324,,90,-13.2,-89.3,39.0,14.5,2009,
NYM,2377,6159,95,671,631,122,8.5%,15.1%,.124,.307,.270,.335,.394,.320,,94,-5.4,-48.2,-16.8,12.8,2009,
HOU,2340,6040,142,643,616,113,7.4%,16.4%,.140,.293,.260,.319,.400,.315,,89,-18.0,-99.0,37.0,12.7,2009,
BAL,2281,6233,160,741,708,76,8.3%,16.3%,.147,.300,.268,.332,.415,.328,,93,-20.1,-74.3,-28.1,11.6,2009,
PIT,2195,6058,125,636,612,90,8.2%,18.9%,.135,.296,.252,.318,.387,.310,,86,-6.2,-113.0,27.8,10.5,2009,
CHW,2241,6132,184,724,695,113,8.7%,16.7%,.153,.285,.258,.329,.411,.326,,91,-13.0,-84.0,-45.1,8.6,2009,
KCR,2247,6103,144,686,657,88,7.5%,17.9%,.146,.298,.259,.318,.405,.318,,88,-18.9,-110.3,-82.0,2.2,2009,
CIN,2370,6285,188,790,761,93,8.3%,19.4%,.164,.314,.272,.338,.436,.340,,106,12.7,57.2,96.8,35.7,2010,
NYY,2313,6379,201,859,823,103,10.4%,17.8%,.169,.300,.267,.350,.436,.346,,112,12.1,101.5,-24.8,31.2,2010,
TBR,2361,6270,160,802,769,172,10.7%,20.6%,.156,.293,.247,.333,.403,.326,,106,37.6,78.5,-3.2,30.7,2010,
MIL,2262,6304,182,750,710,81,8.7%,19.3%,.161,.304,.262,.335,.424,.334,,104,0.6,32.4,66.3,30.0,2010,
MIN,2290,6257,142,781,749,68,8.9%,15.5%,.148,.306,.273,.341,.422,.335,,106,-15.8,29.5,17.9,27.8,2010,
SFG,2354,6143,162,697,660,55,7.9%,17.9%,.151,.293,.257,.321,.408,.320,,98,-18.3,-31.6,95.2,25.8,2010,
STL,2347,6241,150,736,689,79,8.7%,16.5%,.139,.296,.263,.332,.402,.322,,99,1.8,-6.8,59.6,25.0,2010,
BOS,2327,6356,211,818,782,68,9.2%,17.9%,.183,.299,.268,.339,.451,.345,,109,-7.2,59.7,-43.4,24.9,2010,
TOR,2206,6072,257,755,732,58,7.8%,19.2%,.206,.269,.248,.312,.454,.334,,105,-12.3,25.1,-9.9,23.7,2010,
ATL,2376,6252,139,738,699,63,10.1%,18.2%,.143,.301,.258,.339,.401,.327,,100,-2.1,-2.9,41.9,23.6,2010,
SDP,2352,6148,132,665,630,124,8.8%,19.2%,.125,.290,.246,.317,.371,.304,,92,9.3,-50.2,91.9,23.6,2010,
DET,2274,6312,152,751,717,69,8.7%,18.2%,.147,.311,.268,.335,.415,.330,,102,9.7,23.9,-18.7,23.6,2010,
PHI,2277,6291,166,772,736,108,8.9%,16.9%,.153,.292,.260,.332,.413,.327,,99,13.3,5.5,27.4,23.1,2010,
TEX,2312,6302,162,787,740,123,8.1%,15.6%,.143,.307,.276,.338,.419,.333,,98,4.5,-7.0,-4.1,21.8,2010,
ARI,2271,6183,180,713,691,86,9.5%,24.7%,.166,.312,.250,.325,.416,.325,,93,-8.3,-62.7,85.8,21.8,2010,
OAK,2255,6117,109,663,619,156,8.6%,17.3%,.122,.297,.256,.324,.378,.313,,95,17.8,-20.6,1.0,20.3,2010,
WSN,2410,6100,149,655,634,110,8.2%,20.0%,.140,.294,.250,.318,.390,.313,,90,-11.3,-84.4,59.9,16.6,2010,
FLA,2300,6194,152,719,686,92,8.3%,22.2%,.149,.309,.254,.321,.403,.318,,92,22.5,-36.1,2.7,15.9,2010,
CHW,2212,6118,177,752,710,160,7.6%,15.1%,.152,.292,.268,.332,.420,.332,,100,-8.1,-7.7,-56.3,15.7,2010,
NYM,2348,6144,128,656,625,130,8.2%,17.8%,.134,.287,.249,.314,.383,.307,,89,10.6,-70.9,30.6,15.1,2010,
LAA,2236,6089,155,681,656,104,7.7%,17.6%,.142,.281,.248,.311,.390,.310,,94,-8.8,-54.2,-24.1,14.1,2010,
CHC,2307,6140,149,685,658,55,7.8%,20.1%,.145,.304,.257,.320,.401,.318,,90,-10.3,-81.7,29.0,13.8,2010,
COL,2379,6265,173,770,741,99,9.3%,20.3%,.162,.310,.263,.336,.425,.333,,91,9.3,-62.0,2.5,13.5,2010,
LAD,2310,6140,120,667,621,92,8.7%,19.3%,.127,.299,.252,.322,.379,.309,,92,1.3,-60.6,3.4,13.3,2010,
CLE,2255,6165,128,646,601,91,8.8%,19.2%,.130,.293,.248,.322,.378,.311,,94,1.3,-40.7,-70.3,11.0,2010,
KCR,2190,6209,121,676,640,115,7.6%,14.6%,.126,.305,.274,.331,.399,.323,,98,-28.4,-42.1,-81.2,9.9,2010,
BAL,2240,6109,133,613,577,76,6.9%,17.3%,.127,.296,.259,.316,.386,.310,,87,-21.0,-111.8,-11.0,9.6,2010,
HOU,2358,6005,108,611,577,100,6.9%,17.1%,.115,.285,.247,.303,.362,.295,,79,-6.4,-156.6,27.6,5.4,2010,
SEA,2104,5989,101,513,485,142,7.7%,19.8%,.104,.282,.236,.298,.339,.285,,79,-1.0,-148.9,-40.5,2.2,2010,
PIT,2327,5974,126,587,570,87,7.8%,20.2%,.131,.288,.242,.304,.373,.300,,84,-5.8,-119.0,-48.1,1.4,2010,
NYY,2301,6306,222,867,836,147,9.9%,18.0%,.181,.292,.263,.343,.444,.345,,113,6.6,101.6,39.7,37.0,2011,
BOS,2269,6414,203,875,842,102,9.0%,17.3%,.181,.314,.280,.349,.461,.352,,117,-12.2,114.3,16.2,36.3,2011,
TEX,2186,6261,210,855,807,143,7.6%,14.9%,.177,.304,.283,.340,.460,.347,,112,20.6,107.4,5.3,33.9,2011,
MIL,2292,6113,185,721,693,94,7.9%,17.7%,.164,.293,.261,.325,.425,.327,,103,0.3,20.6,82.0,30.5,2011,
ARI,2230,6096,172,731,702,133,8.7%,20.5%,.163,.294,.250,.322,.413,.322,,97,9.0,-14.8,117.8,30.5,2011,
STL,2403,6242,162,762,726,57,8.7%,15.7%,.151,.305,.273,.341,.425,.334,,112,-16.5,72.3,17.6,29.6,2011,
CIN,2358,6329,183,735,697,97,8.5%,19.8%,.152,.297,.256,.326,.408,.322,,99,8.7,3.6,81.9,29.4,2011,
TBR,2284,6152,172,707,674,155,9.3%,19.4%,.159,.281,.244,.322,.402,.319,,103,10.4,35.1,23.1,27.7,2011,
LAA,2187,6088,155,667,629,135,7.3%,17.8%,.149,.288,.253,.313,.402,.313,,98,-3.8,-14.6,38.0,23.8,2011,
DET,2309,6231,169,787,750,49,8.4%,18.3%,.157,.318,.277,.340,.434,.337,,109,-15.2,48.5,-36.5,23.1,2011,
KCR,2134,6267,129,730,705,153,7.1%,16.1%,.140,.311,.275,.329,.415,.325,,101,0.7,4.5,-25.3,19.8,2011,
LAD,2304,6094,117,644,613,126,8.2%,17.8%,.118,.299,.257,.322,.375,.307,,95,10.2,-24.6,24.3,19.6,2011,
PHI,2203,6279,153,713,693,96,8.6%,16.3%,.142,.283,.253,.323,.395,.315,,96,3.5,-29.5,17.9,19.0,2011,
ATL,2322,6169,173,641,606,77,8.2%,20.4%,.144,.284,.243,.308,.387,.306,,91,-4.8,-70.5,57.9,18.5,2011,
SFG,2370,6091,121,570,534,85,7.4%,18.4%,.126,.281,.242,.303,.368,.295,,88,-6.5,-87.9,74.2,18.1,2011,
NYM,2383,6335,108,718,676,130,9.0%,17.1%,.127,.307,.264,.335,.391,.319,,102,11.1,25.0,-55.1,17.2,2011,
WSN,2341,6090,154,624,594,106,7.7%,21.7%,.140,.292,.242,.309,.383,.305,,89,3.7,-73.4,45.6,16.6,2011,
TOR,2265,6210,186,743,704,131,8.5%,19.1%,.164,.283,.249,.317,.413,.319,,97,12.1,-11.6,-46.8,15.6,2011,
SDP,2355,6074,91,593,563,170,8.2%,21.7%,.112,.294,.237,.305,.349,.290,,86,18.2,-77.2,34.3,15.0,2011,
CHC,2373,6130,148,654,610,69,6.9%,19.6%,.144,.301,.256,.314,.401,.314,,91,-17.7,-80.2,29.5,14.3,2011,
FLA,2348,6232,149,625,596,95,8.7%,20.0%,.142,.291,.247,.318,.388,.311,,92,2.1,-56.1,-3.7,13.7,2011,
HOU,2377,6150,95,615,579,118,6.5%,18.9%,.116,.308,.258,.311,.374,.301,,88,-0.6,-89.1,28.3,13.3,2011,
BAL,2262,6156,191,708,684,81,7.3%,18.2%,.156,.288,.257,.316,.413,.320,,96,-11.3,-39.1,-48.9,12.3,2011,
COL,2348,6275,163,735,697,118,8.8%,19.1%,.152,.300,.258,.329,.410,.324,,88,-1.8,-92.6,12.7,11.7,2011,
CHW,2206,6159,154,654,625,81,7.7%,16.1%,.136,.280,.252,.319,.388,.312,,90,-9.9,-80.0,-13.9,11.7,2011,
CLE,2287,6142,154,704,671,89,8.0%,20.7%,.146,.297,.250,.317,.396,.314,,99,0.4,-8.5,-107.2,9.3,2011,
